"_id","_labels","aktuellesWetter","breitengrad","laengengrad","name","rollstuhl","zukünftigesWetter","überdacht","_start","_end","_type","distanz","fahrzeit"
"0",":Station","1","50.9425","6.958056","Köln Hauptbahnhof","yes","1","yes",,,,,
"1",":Station","1","53.552778","10.006389","Hamburg Hauptbahnhof","yes","1","yes",,,,,
"2",":Station","0","52.377222","9.741667","Hannover Hauptbahnhof","yes","0","yes",,,,,
"3",":Station","1","52.501111","13.283889","Berlin-Westkreuz","yes","1","yes",,,,,
"4",":Station","1","53.551944","9.935","Hamburg Altona","limited","1","yes",,,,,
"5",":Station","1","52.548611","13.389444","Gesundbrunnen","yes","1","yes",,,,,
"6",":Station","1","48.140442","11.557723","München Hauptbahnhof","yes","0","yes",,,,,
"7",":Station","1","52.391667","13.066667","Nürnberg Hauptbahnhof","yes","0","limited",,,,,
"8",":Station","1","52.534722","13.195833","Berlin-Spandau","yes","1","yes",,,,,
"9",":Station","0","52.475556","13.364444","Berlin-Südkreuz","yes","1","yes",,,,,
"10",":Station","1","52.391667","13.066667","Potsdam Hauptbahnhof","yes","1","yes",,,,,
"11",":Station","1","52.525","13.369444","Berlin Hauptbahnhof","yes","1","yes",,,,,
"12",":Station","1","52.469444","13.442222","Neukölln","no","1","no",,,,,
"13",":Station","1","52.503056","13.468889","Ostkreuz","yes","1","yes",,,,,
"14",":Station","1","52.520278","13.386944","Friedrichstraße","yes","1","yes",,,,,
,,,,,,,,,"8","3","SBAHN","10","15"
,,,,,,,,,"9","11","SBAHN","8","12"
,,,,,,,,,"0","1","FERNBAHN","357","178"
,,,,,,,,,"0","2","FERNBAHN","249","124"
,,,,,,,,,"0","7","FERNBAHN","337","168"
,,,,,,,,,"7","9","FERNBAHN","438","219"
,,,,,,,,,"2","8","FERNBAHN","235","117"
,,,,,,,,,"8","11","FERNBAHN","13","6"
,,,,,,,,,"3","11","SBAHN","4","6"
,,,,,,,,,"1","2","FERNBAHN","151","75"
,,,,,,,,,"9","11","FERNBAHN","8","4"
,,,,,,,,,"10","3","SBAHN","30","47"
,,,,,,,,,"4","1","SBAHN","6","9"
,,,,,,,,,"4","1","FERNBAHN","6","3"
,,,,,,,,,"5","14","SBAHN","5","7"
,,,,,,,,,"12","9","SBAHN","4","6"
,,,,,,,,,"8","12","UBAHN","20","40"
,,,,,,,,,"1","8","FERNBAHN","278","139"
,,,,,,,,,"6","7","FERNBAHN","173","86"
,,,,,,,,,"7","2","FERNBAHN","472","236"
,,,,,,,,,"10","11","FERNBAHN","34","17"
,,,,,,,,,"9","3","SBAHN","10","15"
,,,,,,,,,"14","13","SBAHN","5","7"
,,,,,,,,,"14","13","FERNBAHN","5","2"
,,,,,,,,,"14","11","FERNBAHN","2","1"
,,,,,,,,,"14","11","SBAHN","2","3"
,,,,,,,,,"9","14","SBAHN","7","11"
,,,,,,,,,"9","14","FERNBAHN","7","3"
,,,,,,,,,"5","13","SBAHN","7","11"
,,,,,,,,,"12","13","SBAHN","4","6"
,,,,,,,,,"3","5","SBAHN","7","11"
